metric,value,model,test_rmse,cv_rmse_mean,cv_rmse_std,train_rmse_mean,bias_proxy_mean_error,variance_proxy_cv_rmse_std,generalization_gap_rmse,selected_best_model
mae,3.4954705148515073,,,,,,,,,
rmse,4.323519511757947,,,,,,,,,
mape_pct,2.83868126515773,,,,,,,,,
bias_mean_error,0.15123174128640549,,,,,,,,,
,,ridge,4.323519511757947,3.824853350388075,0.15940836793997065,3.7772484595641034,0.15123174128640549,0.15940836793997065,0.04760489082397168,True
,,gradient_boosting,4.501922314362884,4.09876518080174,0.4250630020063007,3.1911988699238796,0.334124052356755,0.4250630020063007,0.9075663108778604,False
,,random_forest,4.630184228630739,4.116953156763854,0.40306977937143873,1.646815215209528,0.3477000192221875,0.40306977937143873,2.4701379415543263,False
